,day,cage,mouse,trialname1,trialname2,trialtype,vectorangle,vectordis
3,Day37,C4620081,M1,Vanilla,Vanilla,NonTMT,94.0,136.30320501651127
4,Day37,C4620081,M1,Vanilla,PeanutButter,NonTMT,88.0,129.57502045935303
5,Day37,C4620081,M1,Vanilla,TMT,TMT,89.0,117.16461426463961
6,Day37,C4620081,M1,PeanutButter,Vanilla,NonTMT,94.0,122.95426650234636
7,Day37,C4620081,M1,PeanutButter,PeanutButter,NonTMT,87.0,115.20633148403914
8,Day37,C4620081,M1,PeanutButter,TMT,TMT,92.0,105.34385831139
0,Day37,C4620081,M2,Water,Vanilla,NonTMT,75.0,114.81411539652436
1,Day37,C4620081,M2,Water,PeanutButter,NonTMT,73.0,114.72547064989892
2,Day37,C4620081,M2,Water,TMT,TMT,109.0,163.44761006258028
3,Day37,C4620081,M2,Vanilla,Vanilla,NonTMT,76.0,118.11204397763397
4,Day37,C4620081,M2,Vanilla,PeanutButter,NonTMT,81.0,127.13809655995252
5,Day37,C4620081,M2,Vanilla,TMT,TMT,105.0,160.91553001038235
6,Day37,C4620081,M2,PeanutButter,Vanilla,NonTMT,108.0,162.13500134474216
7,Day37,C4620081,M2,PeanutButter,PeanutButter,NonTMT,104.0,160.56834477266415
8,Day37,C4620081,M2,PeanutButter,TMT,TMT,69.0,119.64805800598073
0,Day37,C4620081,M3,Water,Vanilla,NonTMT,85.0,107.06391331793489
1,Day37,C4620081,M3,Water,PeanutButter,NonTMT,92.0,125.11575270139555
2,Day37,C4620081,M3,Water,TMT,TMT,95.0,119.0644975411755
3,Day37,C4620081,M3,Vanilla,Vanilla,NonTMT,93.0,126.00065580875759
4,Day37,C4620081,M3,Vanilla,PeanutButter,NonTMT,86.0,128.76326656582773
5,Day37,C4620081,M3,Vanilla,TMT,TMT,92.0,127.38100255094804
6,Day37,C4620081,M3,PeanutButter,Vanilla,NonTMT,92.0,116.3022778758838
7,Day37,C4620081,M3,PeanutButter,PeanutButter,NonTMT,91.0,126.31833486623901
8,Day37,C4620081,M3,PeanutButter,TMT,TMT,84.0,110.95354077307627
0,Day37,C4620081,M4,Water,Vanilla,NonTMT,75.0,150.9885919342582
1,Day37,C4620081,M4,Water,PeanutButter,NonTMT,92.0,184.5178384834728
2,Day37,C4620081,M4,Water,TMT,TMT,94.0,170.597615224319
3,Day37,C4620081,M4,Vanilla,Vanilla,NonTMT,90.0,181.28905386244634
4,Day37,C4620081,M4,Vanilla,PeanutButter,NonTMT,84.0,176.1634049337451
5,Day37,C4620081,M4,Vanilla,TMT,TMT,92.0,173.28595168851217
6,Day37,C4620081,M4,PeanutButter,Vanilla,NonTMT,95.0,172.11597703217447
7,Day37,C4620081,M4,PeanutButter,PeanutButter,NonTMT,92.0,172.8687827569608
8,Day37,C4620081,M4,PeanutButter,TMT,TMT,90.0,153.0992537904874
0,Day7,C4620081,M1,Water,Vanilla,NonTMT,94.0,115.3947105357792
1,Day7,C4620081,M1,Water,PeanutButter,NonTMT,93.0,138.01798997652827
2,Day7,C4620081,M1,Water,TMT,TMT,86.0,105.75458627828975
3,Day7,C4620081,M1,Vanilla,Vanilla,NonTMT,85.0,129.68564313851545
4,Day7,C4620081,M1,Vanilla,PeanutButter,NonTMT,90.0,154.6399344696255
5,Day7,C4620081,M1,Vanilla,TMT,TMT,94.0,137.21509674716503
6,Day7,C4620081,M1,PeanutButter,Vanilla,NonTMT,93.0,112.72320596402292
7,Day7,C4620081,M1,PeanutButter,PeanutButter,NonTMT,86.0,129.18252967752096
8,Day7,C4620081,M1,PeanutButter,TMT,TMT,87.0,104.14391020279236
0,Day7,C4620083,M1,Water,Vanilla,NonTMT,74.0,96.30587160762397
1,Day7,C4620083,M1,Water,PeanutButter,NonTMT,107.0,149.8189831280249
2,Day7,C4620083,M1,Water,TMT,TMT,87.0,102.81565152410114
3,Day7,C4620083,M1,Vanilla,Vanilla,NonTMT,107.0,150.54497151908055
4,Day7,C4620083,M1,Vanilla,PeanutButter,NonTMT,72.0,125.88055597616578
5,Day7,C4620083,M1,Vanilla,TMT,TMT,95.0,132.57819896552587
6,Day7,C4620083,M1,PeanutButter,Vanilla,NonTMT,85.0,101.33303039854171
7,Day7,C4620083,M1,PeanutButter,PeanutButter,NonTMT,97.0,134.29727521691242
8,Day7,C4620083,M1,PeanutButter,TMT,TMT,86.0,95.55978840855467
0,Day7,C4620083,M2,Water,Vanilla,NonTMT,79.0,107.81381166157671
1,Day7,C4620083,M2,Water,PeanutButter,NonTMT,98.0,152.27124315215158
2,Day7,C4620083,M2,Water,TMT,TMT,93.0,111.31485963104329
